"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","fraud_label"
26974042,"Luxurious apartment with beautiful garden",65071543,"Mary",NA,"Zuid",52.3550932404197,4.86817086674181,"Entire home/apt",750,1,11,"2018-11-06",2.54,1,268,0
26975079,"Java 3",21686664,"Giampaolo Antonio",NA,"Oud-Oost",52.3630353885485,4.92949782250617,"Entire home/apt",78,2,2,"2018-10-23",0.43,3,20,0
26975304,"Bedding with Canal",22793995,"Chris",NA,"Centrum-West",52.3707893284867,4.89359741792116,"Entire home/apt",200,1,6,"2018-12-02",1.29,1,356,0
26976413,"Home in Amsterdam",202972049,"Coco",NA,"Buitenveldert - Zuidas",52.3345075424764,4.87102638970306,"Private room",150,1,0,"",NA,1,87,0
26979524,"Amsterdam city center entire apartament",202990829,"Lucyna",NA,"De Pijp - Rivierenbuurt",52.3556024368198,4.89047539421548,"Entire home/apt",130,3,1,"2018-07-27",0.23,1,110,0
26982671,"Amsterdam Appartement museumsquare",112054501,"Andrew",NA,"Zuid",52.3542907360834,4.8831263259919,"Entire home/apt",175,4,0,"",NA,3,155,0
26985552,"Beautiful & clean apartment near the ‘9 streets’",95421425,"Sofie",NA,"Bos en Lommer",52.3789786424928,4.8600333208673,"Entire home/apt",150,1,3,"2018-08-13",0.74,1,0,0
26985641,"Modern & Private apartment in City Centre of A'dam",203031255,"Jan",NA,"Centrum-West",52.3694743439836,4.87744467573035,"Entire home/apt",184,3,6,"2018-11-26",4.5,1,4,0
26985644,"luxury renovated apartment in Amsterdam (elevator)",202688719,"Johannes",NA,"Zuid",52.3544133557407,4.8805412025911,"Entire home/apt",270,1,13,"2018-11-25",2.87,1,74,0
26989235,"Nice apartment in Amsterdam Oud-Zuid",26361113,"Haiko",NA,"Zuid",52.3518353370482,4.85593021725477,"Entire home/apt",100,2,10,"2018-11-05",2.48,1,0,0
26989332,"Amazing studio in hip and happening Amsterdam East",6782241,"Ralph",NA,"Oud-Oost",52.3593280870031,4.93391906438303,"Entire home/apt",130,2,1,"2018-09-18",0.37,1,14,0
26993359,"Bright stylish roof terrace apt next to Vondelpark",41306000,"Dev",NA,"Zuid",52.3536535525931,4.85477947560086,"Entire home/apt",169,2,7,"2018-11-26",3.82,1,0,0
27001821,"Lovely Bright Apartment Amsterdam",203173532,"Eva",NA,"Westerpark",52.3822343812299,4.87250370072298,"Entire home/apt",125,4,7,"2018-11-18",1.74,1,7,0
27005188,"FANTASTIC City Center stay!",84449589,"Christiaan",NA,"Centrum-Oost",52.3606835147611,4.89284170690059,"Entire home/apt",79,2,8,"2018-08-23",1.74,14,12,0
27006190,"!! Modern apartment in best part of Amsterdam !!",203200133,"Evi",NA,"De Baarsjes - Oud-West",52.3609852141154,4.86736486394884,"Entire home/apt",250,1,6,"2018-10-21",1.64,1,174,0
27010196,"BIG family ground floor apt. with green garden!",4144842,"Ramses",NA,"Watergraafsmeer",52.3544889467726,4.93658229720818,"Entire home/apt",160,3,1,"2018-08-31",0.31,1,29,0
27011945,"Beautiful 1930's family home with balcony @hipWest",203236223,"Marcel",NA,"De Baarsjes - Oud-West",52.3620084511438,4.85039077038508,"Entire home/apt",160,3,2,"2018-08-21",0.53,1,0,0
27012249,"Modern studio apartment in Amsterdam city centre",203236671,"Britt",NA,"Centrum-West",52.3793737041545,4.89448840889934,"Entire home/apt",150,3,5,"2018-09-10",1.21,1,17,0
27012728,"New renovated apartment with lovely garden",5993905,"Jan En Lisanne",NA,"Bos en Lommer",52.3763201596336,4.85892898885951,"Entire home/apt",129,2,4,"2018-11-04",0.93,3,60,0
27013749,"MOST PEACEFUL 55m2 Apartment in Amsterdam @ CENTRE",203247656,"Rick",NA,"Westerpark",52.388520040065,4.87966080426249,"Entire home/apt",269,1,25,"2018-11-25",5.43,2,12,0
